Product,Version,ReleaseDate,RequiredPHPVersion,Comments
MediaWiki,1.9.1,1/24/07,5.0,
MediaWiki,1.9.2,2/4/07,5.0,
MediaWiki,1.9.3,2/20/07,5.0,
MediaWiki,1.9.4,9/10/07,5.0,
MediaWiki,1.9.5,1/23/08,5.0,
MediaWiki,1.9.6,3/2/08,5.0,
MediaWiki,1.24.1,12/17/14,5.3.2,
CodeIgniter,1.0b,3/5/06,4.3.2,
CodeIgniter,1.1b,3/18/06,4.3.2,
CodeIgniter,1.2,3/21/06,4.3.2,
CodeIgniter,1.3,4/5/06,4.3.2,
CodeIgniter,1.3.1,4/11/06,4.3.2,
CodeIgniter,1.3.2,4/24/06,4.3.2,
CodeIgniter,1.3.3,6/1/06,4.3.2,
CodeIgniter,1.4.1,10/9/06,4.3.2,
CodeIgniter,1.5.1,11/23/06,4.3.2,
CodeIgniter,1.5.2,2/14/07,4.3.2,
CodeIgniter,1.5.3,4/15/07,4.3.2,
CodeIgniter,1.5.4,7/15/07,4.3.2,
CodeIgniter,1.6.0,2/13/08,4.3.2,
CodeIgniter,1.6.1,2/13/08,4.3.2,
CodeIgniter,1.6.2,5/13/08,4.3.2,
CodeIgniter,1.6.3,6/27/08,4.3.2,
CodeIgniter,1.7.0,10/24/08,4.3.2,
CodeIgniter,1.7.1,2/10/09,4.3.2,
CodeIgniter,1.7.2,7/12/10,4.3.2,
CodeIgniter,1.7.3,12/2/10,4.3.2,
CodeIgniter,2.0.0,1/28/11,5.1.6,
CodeIgniter,2.0.1,3/15/11,5.1.6,
CodeIgniter,2.0.2,4/7/11,5.1.6,
CodeIgniter,2.0.3,8/20/11,5.1.6,
CodeIgniter,2.1.2,6/29/12,5.1.6,
CodeIgniter,2.1.3,10/8/12,5.1.6,
CodeIgniter,2.1.4,7/8/13,5.1.6,
CodeIgniter,3.0.0,3/31/15,5.2.4,
CakePHP,1.2.0-0,12/25/08,4.0,
CakePHP,1.2.1-0,1/16/09,4.0,
CakePHP,1.2.2-0,3/19/09,4.0,
CakePHP,1.2.3-0,5/4/09,4.0,
CakePHP,1.2.4-0,12/9/09,4.0,
CakePHP,1.2.5-0,12/9/09,4.0,
CakePHP,1.2.6-0,1/29/10,4.0,
CakePHP,1.2.7-0,4/23/10,4.0,
CakePHP,1.2.8-0,8/21/10,4.0,
CakePHP,1.2.9-0,11/13/10,4.0,
CakePHP,1.2.10-0,3/20/11,4.0,
CakePHP,1.2.11-0,9/18/11,4.0,
CakePHP,1.3.0-0,4/25/10,4.0,
CakePHP,1.3.1-0,5/29/10,4.0,
CakePHP,1.3.2-0,6/7/10,4.0,
CakePHP,1.3.3-0,7/18/10,4.0,
CakePHP,1.3.4-0,9/12/10,4.0,
CakePHP,1.3.5-0,10/24/10,4.0,
CakePHP,1.3.6-0,11/13/10,4.0,
CakePHP,1.3.7-0,1/19/11,4.0,
CakePHP,1.3.8-0,3/20/11,4.0,
CakePHP,1.3.9-0,5/20/11,4.0,
CakePHP,1.3.10-0,5/30/11,4.0,
CakePHP,1.3.11-0,7/26/11,4.0,
CakePHP,1.3.12-0,9/18/11,4.0,
CakePHP,1.3.13-0,10/15/11,4.0,
CakePHP,1.3.14-0,12/28/11,4.0,
CakePHP,1.3.15-0,3/25/12,4.0,
CakePHP,2.0.0-0,10/16/11,5.2.6,
CakePHP,2.0.1-0,10/30/11,5.2.6,
CakePHP,2.0.2-0,11/2/11,5.2.6,
CakePHP,2.0.3-0,11/13/11,5.2.6,
CakePHP,2.0.4-0,11/28/11,5.2.6,
CakePHP,2.0.5-0,12/28/11,5.2.6,
CakePHP,2.0.6-0,2/5/12,5.2.8,
CakePHP,2.1.0-0,3/4/12,5.2.8,
CakePHP,2.1.1-0,3/25/12,5.2.8,
CakePHP,2.1.2-0,4/29/12,5.2.8,
CakePHP,2.1.3-0,5/22/12,5.2.8,
CakePHP,2.1.4-0,7/1/12,5.2.8,
CakePHP,2.2.0-0,7/2/12,5.2.8,
CakePHP,2.2.1,7/14/12,5.2.8,
CakePHP,2.2.2,9/1/12,5.2.8,
CakePHP,2.2.3,10/9/12,5.2.8,
CakePHP,2.4.4,12/24/13,5.2.8,
CakePHP,2.6.3,3/16/15,5.2.8,
DoctrineORM,1.2.0,11/30/09,5.2,"Unsure about version, undocumented"
DoctrineORM,1.2.1,12/7/09,5.2,"Unsure about version, undocumented"
DoctrineORM,1.2.2,3/29/10,5.2,"Unsure about version, undocumented"
DoctrineORM,1.2.3,8/24/10,5.2,"Unsure about version, undocumented"
DoctrineORM,1.2.4,3/21/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.0,12/21/10,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.1,1/30/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.2,3/5/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.3,3/20/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.4,4/7/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.5,5/14/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.6,6/15/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.0.7,8/17/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.1.0,7/4/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.1.1,8/26/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.1.2,9/25/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.1.3,11/21/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.1.4,11/23/11,5.2,"Unsure about version, undocumented"
DoctrineORM,2.1.5,12/19/11,5.3,
DoctrineORM,2.1.6,1/29/12,5.3,
DoctrineORM,2.1.7,5/28/12,5.3,
DoctrineORM,2.2.0,1/29/12,5.3,
DoctrineORM,2.2.1,3/3/12,5.3,
DoctrineORM,2.2.2,4/13/12,5.3,
DoctrineORM,2.3.0,9/20/12,5.3,"Unsure about version, undocumented"
DoctrineORM,2.3.3,5/11/13,5.3.3,
DoctrineORM,2.4.7,12/16/14,5.3.2,
Drupal,4.0.0,6/15/02,4.0,Release date based on dates of distribution files
Drupal,4.1.0,2/2/03,4.0,Release date based on dates of distribution files
Drupal,4.2.0,8/7/03,4.0,Release date based on dates of distribution files
Drupal,4.3.0,11/1/03,4.0,Release date based on dates of distribution files
Drupal,4.3.1,12/2/03,4.0,Release date based on dates of distribution files
Drupal,4.3.2,1/1/04,4.0,Release date based on dates of distribution files
Drupal,4.4.0,4/1/04,4.0,Release date based on dates of distribution files
Drupal,4.4.1,5/1/04,4.0,Release date based on dates of distribution files
Drupal,4.4.2,7/4/04,4.0,Release date based on dates of distribution files
Drupal,4.4.3,6/1/05,4.0,Release date based on dates of distribution files
Drupal,4.5.0,10/18/04,4.0,Release date based on dates of distribution files
Drupal,4.5.1,11/30/04,4.0,Release date based on dates of distribution files
Drupal,4.5.2,1/15/05,4.0,Release date based on dates of distribution files
Drupal,4.5.3,6/1/05,4.0,
Drupal,4.5.4,6/29/05,4.0,
Drupal,4.5.5,8/15/05,4.0,
Drupal,4.5.6,12/1/05,4.0,
Drupal,4.5.7,12/12/05,4.0,
Drupal,4.5.8,3/14/06,4.0,
Drupal,4.6.0,4/15/05,4.3.3,
Drupal,4.6.1,6/1/05,4.3.3,
Drupal,4.6.2,6/30/05,4.3.3,
Drupal,4.6.3,8/15/05,4.3.3,
Drupal,4.6.4,12/1/05,4.3.3,
Drupal,4.6.5,12/12/05,4.3.3,
Drupal,4.6.6,3/14/06,4.3.3,
Drupal,4.6.7,5/25/06,4.3.3,
Drupal,4.6.8,6/2/06,4.3.3,
Drupal,4.6.9,8/2/06,4.3.3,
Drupal,4.6.10,10/18/06,4.3.3,
Drupal,4.6.11,1/5/07,4.3.3,
Drupal,4.7.0,5/1/06,4.3.3,
Drupal,4.7.1,5/25/06,4.3.3,
Drupal,4.7.2,6/2/06,4.3.3,
Drupal,4.7.3,8/2/06,4.3.3,
Drupal,4.7.4,10/18/06,4.3.3,
Drupal,4.7.5,1/5/07,4.3.3,
Drupal,4.7.6,1/29/07,4.3.3,
Drupal,4.7.7,7/26/07,4.3.3,
Drupal,4.7.8,10/17/07,4.3.3,
Drupal,4.7.9,12/5/07,4.3.3,
Drupal,4.7.10,12/6/07,4.3.3,
Drupal,4.7.11,1/10/08,4.3.5,
Drupal,5,1/15/07,4.3.3,
Drupal,5.1,1/30/07,4.3.3,
Drupal,5.2,7/26/07,4.3.3,
Drupal,5.3,10/17/07,4.3.3,
Drupal,5.4,12/5/07,4.3.3,
Drupal,5.5,12/6/07,4.3.3,
Drupal,5.6,1/10/08,4.3.5,
Drupal,5.7,1/29/08,4.3.5,
Drupal,5.8,7/9/08,4.3.5,
Drupal,5.9,7/23/08,4.3.5,
Drupal,5.1,8/14/08,4.3.5,
Drupal,5.11,10/8/08,4.3.5,
Drupal,5.12,10/22/08,4.3.5,
Drupal,5.13,12/10/08,4.3.5,
Drupal,5.14,12/11/08,4.3.5,
Drupal,5.15,1/14/09,4.3.5,
Drupal,5.16,2/25/09,4.3.5,
Drupal,5.17,4/30/09,4.3.5,
Drupal,5.18,5/13/09,4.3.5,
Drupal,5.19,7/1/09,4.3.5,
Drupal,5.2,9/16/09,4.3.5,
Drupal,5.21,12/16/09,4.3.5,
Drupal,5.22,3/4/10,4.3.5,
Drupal,5.23,8/11/10,4.3.5,
Drupal,6,2/13/08,4.3.5,
Drupal,6.1,2/27/08,4.3.5,
Drupal,6.2,4/9/08,4.3.5,
Drupal,6.3,7/9/08,4.3.5,
Drupal,6.4,8/14/08,4.3.5,
Drupal,6.5,10/8/08,4.3.5,
Drupal,6.6,10/22/08,4.3.5,
Drupal,6.7,12/10/08,4.3.5,
Drupal,6.8,12/11/08,4.3.5,
Drupal,6.9,1/14/09,4.3.5,
Drupal,6.1,2/25/09,4.3.5,
Drupal,6.11,4/30/09,4.3.5,
Drupal,6.12,5/13/09,4.3.5,
Drupal,6.13,7/1/09,4.3.5,
Drupal,6.14,9/16/09,4.3.5,
Drupal,6.15,12/16/09,4.3.5,
Drupal,6.16,3/4/10,4.3.5,
Drupal,6.17,6/2/10,4.3.5,
Drupal,6.18,8/11/10,4.3.5,
Drupal,6.19,8/11/10,4.3.5,
Drupal,6.2,12/15/10,4.3.5,
Drupal,6.21,5/25/11,4.3.5,
Drupal,6.22,5/25/11,4.3.5,
Drupal,6.23,2/1/12,4.3.5,
Drupal,6.24,2/1/12,4.3.5,
Drupal,6.25,2/29/12,4.3.5,
Drupal,6.26,5/2/12,4.3.5,
Drupal,7,1/5/11,5.2.4,
Drupal,7.1,5/25/11,5.2.4,
Drupal,7.2,5/25/11,5.2.4,
Drupal,7.3,6/20/11,5.2.4,
Drupal,7.4,6/30/11,5.2.4,
Drupal,7.5,7/27/11,5.2.4,
Drupal,7.6,7/27/11,5.2.4,
Drupal,7.7,7/28/11,5.2.4,
Drupal,7.8,8/31/11,5.2.4,
Drupal,7.9,10/26/11,5.2.4,
Drupal,7.1,12/5/11,5.2.4,
Drupal,7.11,2/1/12,5.2.4,
Drupal,7.12,2/1/12,5.2.4,
Drupal,7.13,5/2/12,5.2.4,
Drupal,7.14,5/2/12,5.2.4,
Drupal,7.15,8/1/12,5.2.4,
Drupal,7.16,10/17/12,5.2.4,
Drupal,7.17,11/7/12,5.2.4,
Drupal,7.24,11/20/13,5.2.5,
Drupal,7.35,3/18/15,5.2.4,
Gallery,1.5.9,9/16/08,4.0.4,
Gallery,1.5.10,11/21/08,4.0.4,
Gallery,2.2.6,9/18/08,4.3,
Gallery,2.3,3/15/09,4.3,
Gallery,2.3.1,12/17/09,4.3,
Gallery,2.3.2,4/11/12,4.3,
Gallery,3,10/5/10,5.2.3,
Gallery,3.0.1,1/23/11,5.2.3,
Gallery,3.0.2,5/25/11,5.2.3,
Gallery,3.0.3,4/11/12,5.2.3,
Gallery,3.0.4,6/12/12,5.2.3,
Gallery,3.0.9,6/28/13,5.2.3,
Joomla,1.5.26,3/27/12,4.3.1,
Joomla,2.5.4,5/2/12,5.2.4,
Joomla,2.5.7,9/13/12,5.2.4,
Joomla,2.5.8,11/8/12,5.2.4,
Joomla,3.0.1,10/9/12,5.3.1,
Joomla,3.0.2,11/8/12,5.3.1,
Joomla,3.2.1,12/18/13,5.3.1,
Joomla,3.4.1,3/21/15,5.3.10,
Kohana,3.2,7/25/11,5.3,Release date based on dates of distribution files
Kohana,3.3.1,9/1/13,5.3.3,
Kohana,3.3.3.1,12/10/14,5.3.3,
osCommerce,2.3.1,11/15/10,4.0,
osCommerce,2.3.3.4,9/26/13,4.0,
osCommerce,2.3.4,6/5/14,4.0,
phpBB,3,1/12/12,4.3.3,
phpBB,3.0.12,9/28/13,4.3.3,
phpBB,3.1.3,2/1/15,5.3.3,
phpMyAdmin,2.11.11.3-english,2/11/11,4.1,
phpMyAdmin,3.5.0-english,4/7/12,5.2,
phpMyAdmin,4.1.3-english,12/31/13,5.3,
phpMyAdmin,4.3.13-english,3/29/15,5.3,
SilverStripe,2.4.7,4/5/12,5.2,
SilverStripe,3.0.2,9/17/12,5.3.2,
SilverStripe,3.1.2,10/22/13,5.3.2,
SquirrelMail,1.4.22,7/12/11,4.1,
Symfony,2.0.12,3/19/12,5.3.2,
Symfony,2.1.3,10/30/12,5.3.3,
Symfony,2.4.0,12/3/13,5.3.3,
Symfony,2.6.5,3/17/15,5.3.3,
WordPress,0.71-gold,6/9/03,4.0.6,
WordPress,1.0-platinum,1/3/04,4.0.6,
WordPress,1.0.1-miles,1/25/04,4.0.6,
WordPress,1.0.2,3/11/04,4.0.6,Release date based on guess from looking at releases on website
WordPress,1.2.1,10/6/04,4.1,
WordPress,1.2.2,12/15/04,4.1,
WordPress,1.5-strayhorn,2/17/05,4.1,
WordPress,1.5.1,2/17/05,4.1,
WordPress,1.5.1.1,5/19/05,4.1,Release date based on dates of distribution files
WordPress,1.5.1.2,5/27/05,4.1,Release date based on dates of distribution files
WordPress,1.5.1.3,6/29/05,4.1,
WordPress,1.5.2,8/14/05,4.1,
WordPress,2.0,12/31/05,4.1,
WordPress,2.0.1,1/31/06,4.1,
WordPress,2.0.4,7/29/06,4.1,
WordPress,2.0.5,10/27/06,4.1,
WordPress,2.0.6,1/5/07,4.1,
WordPress,2.0.7,1/15/07,4.1,
WordPress,2.0.8,2/5/07,4.1,Release date based on dates of distribution files
WordPress,2.0.9,2/21/07,4.1,
WordPress,2.0.10,4/3/07,4.1,
WordPress,2.0.11,8/5/07,4.1,
WordPress,2.1,1/22/07,4.1,
WordPress,2.1.1,3/2/07,4.1,
WordPress,2.1.2,3/2/07,4.1,
WordPress,2.1.3,4/3/07,4.1,
WordPress,2.2,5/16/07,4.2,
WordPress,2.2.1,6/21/07,4.2,
WordPress,2.2.2,8/5/07,4.2,
WordPress,2.2.3,9/8/07,4.2,
WordPress,2.3,9/25/07,4.2,
WordPress,2.3.1,10/26/07,4.2,
WordPress,2.3.2,12/29/07,4.2,
WordPress,2.3.3,2/5/08,4.2,Release date based on dates of distribution files
WordPress,2.5,3/29/08,4.3,
WordPress,2.5.1,4/25/08,4.3,
WordPress,2.6,7/15/08,4.3,
WordPress,2.6.1,8/15/08,4.3,
WordPress,2.6.2,9/8/08,4.3,
WordPress,2.6.3,10/23/08,4.3,
WordPress,2.6.5,11/25/08,4.3,Release date based on dates of distribution files
WordPress,2.7,12/11/08,4.3,
WordPress,2.7.1,2/10/09,4.3,
WordPress,2.8,6/11/09,4.3,
WordPress,2.8.1,7/9/09,4.3,
WordPress,2.8.2,7/20/09,4.3,
WordPress,2.8.3,8/3/09,4.3,
WordPress,2.8.4,8/12/09,4.3,
WordPress,2.8.5,10/20/09,4.3,
WordPress,2.8.6,11/12/09,4.3,
WordPress,2.9,12/19/09,4.3,
WordPress,2.9.1,1/4/10,4.3,
WordPress,2.9.2,2/15/10,4.3,
WordPress,3.0,6/17/10,4.3,
WordPress,3.0.1,7/29/10,4.3,
WordPress,3.0.2,11/30/10,4.3,
WordPress,3.0.3,12/8/10,4.3,
WordPress,3.0.4,12/29/10,4.3,
WordPress,3.0.5,2/7/11,4.3,
WordPress,3.0.6,4/26/11,4.3,Release date based on dates of distribution files
WordPress,3.1,2/23/11,4.3,
WordPress,3.1.1,4/5/11,4.3,
WordPress,3.1.2,4/26/11,4.3,
WordPress,3.1.3,5/25/11,4.3,
WordPress,3.1.4,6/29/11,4.3,
WordPress,3.2,7/4/11,5.2.4,
WordPress,3.2.1,7/12/11,5.2.4,
WordPress,3.3,12/12/11,5.2.4,
