product, version, file, phplines
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/logger.php,31
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/boxes/bm_currencies.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/header_tags/ht_manufacturer_title.php,50
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/cache.php,10
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/tax_rates.php,23
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/dashboard/d_security_checks.php,90
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/functions/sessions.php,143
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/boxes/reports.php,22
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/functions/languages.php,13
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/header_tags/ht_opensearch.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/newsletters/product_notification.php,11
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/upload.php,136
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/paypal_express.php,15
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/address_book.php,10
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/redirect.php,43
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/specials.php,57
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/ext/modules/payment/paypal/standard_ipn.php,105
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/cache.php,80
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/ext/modules/payment/paypal/paypal_express.php,33
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/moneybookers_csi.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/cod.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/social_bookmarks/sb_digg.php,45
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/template_bottom.php,7
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/version_check.php,11
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/classes/navigation_history.php,120
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/moneyorder.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/invoice.php,128
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/chronopay.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/index.php,22
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/counter.php,15
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/header_tags/ht_product_title.php,46
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/password_forgotten.php,49
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/logoff.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/opensearch.php,37
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/account_newsletters.php,9
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/table_block.php,60
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/header_tags/ht_mailchimp_360/MCAPI.class.php,521
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/boxes/bm_search.php,7
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/products_attributes.php,685
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/functions/specials.php,13
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/functions/validations.php,26
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/application_top.php,349
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/newsletters/newsletter.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/stats_customers.php,6
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/authorizenet_cc_aim.php,287
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/boxes/bm_languages.php,57
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/dashboard/d_orders.php,54
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/account.php,16
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/security_check/install_directory.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/classes/mime.php,125
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/install/includes/functions/html_output.php,19
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/store_logo.php,74
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/stats_products_viewed.php,6
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/passwordhash.php,171
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/stats_products_purchased.php,59
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/cookie_usage.php,25
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/dashboard/d_admin_logins.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/classes/object_info.php,10
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/cfg_modules/cfgm_dashboard.php,15
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/security_check/config_file_catalog.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/products_attributes.php,21
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/classes/action_recorder.php,62
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/advanced_search_result.php,253
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/checkout_confirmation.php,17
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/modules/cfg_modules/cfgm_header_tags.php,14
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/sec_dir_permissions.php,80
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/account_password.php,8
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/footer.php,18
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/privacy.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/boxes/bm_categories.php,137
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/languages.php,207
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/dashboard/d_total_revenue.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/boxes/bm_specials.php,48
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/account_history.php,14
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/ext/modules/payment/sofortueberweisung/install.php,349
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/database_tables.php,50
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/specials.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/header.php,44
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/classes/breadcrumb.php,26
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/configuration.php,8
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/includes/languages/english/modules/cfg_modules/cfgm_social_bookmarks.php,3
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/modules/payment/moneybookers_csi.php,92
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/order_total/ot_tax.php,4
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/classes/payment.php,156
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/moneybookers_did.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/includes/languages/english/modules/payment/moneybookers_msc.php,5
osCommerce,2.3.1,/export/scratch1/hills/corpus/osCommerce/oscommerce-2.3.1/catalog/admin/tax_rates.php,152
