product,version,array,fetch array dim,fetch class const,assign,assign with operation: bitwise and,assign with operation: bitwise or,assign with operation: bitwise xor,assign with operation: concat,assign with operation: div,assign with operation: minus,assign with operation: mod,assign with operation: mul,assign with operation: plus,assign with operation: right shift,assign with operation: left shift,list assign,ref assign,binary operation: bitwise and,binary operation: bitwise or,binary operation: bitwise xor,binary operation: concat,binary operation: div,binary operation: minus,binary operation: mod,binary operation: mul,binary operation: plus,binary operation: right shift,binary operation: left shift,binary operation: boolean and,binary operation: boolean or,binary operation: gt,binary operation: geq,binary operation: logical and,binary operation: logical or,binary operation: logical xor,binary operation: not equal,binary operation: not identical,binary operation: lt,binary operation: leq,binary operation: equal,binary operation: identical,unary operation: boolean not,unary operation: bitwise not,unary operation: post dec,unary operation: pre dec,unary operation: post inc,unary operation: pre inc,unary operation: unary plus,unary operation: unary minus,new,class const,cast to int,cast to bool,cast to float,cast to string,cast to array,cast to object,cast to unset,clone,closure,fetch const,empty,suppress,eval,exit,call,method call,static call,include,instanceOf,isSet,print,property fetch,shell exec,ternary,fetch static property,scalar,var
WordPress,1.5.1.1,336,2698,0,5354,0,0,0,385,0,2,0,0,22,0,0,0,45,6,1,1,2430,15,89,8,57,104,0,0,318,154,119,31,26,24,0,269,25,156,22,681,12,823,0,6,0,73,30,0,93,81,67,1,3,6,6,0,0,0,0,1127,357,80,3,187,7616,754,4,223,0,337,13,2725,0,142,0,17678,20543,0
WordPress,3.5.1,4926,18465,17,24445,12,11,1,1552,2,28,0,2,135,0,0,0,126,223,78,3,10900,90,342,19,167,364,37,32,2862,1383,439,152,47,15,0,926,621,485,119,2672,845,5531,5,43,16,321,72,0,462,783,655,99,24,67,567,57,0,14,0,10630,2299,523,0,318,39747,6390,394,620,18,2764,5,13455,0,1343,88,87293,98856,0
WordPress,2.9,3362,15436,0,19928,12,8,1,1270,0,27,0,2,114,0,0,0,353,200,81,3,8097,93,328,20,157,375,38,24,1851,980,402,147,49,18,0,787,503,473,101,2091,623,3754,4,36,16,334,82,0,374,663,596,24,23,50,427,23,0,4,0,8105,1728,519,0,378,29095,4914,418,446,0,2154,6,10126,0,954,0,66841,80097,0
WordPress,3.3.2,4714,17352,15,22989,12,7,1,1424,1,27,0,2,127,0,0,0,306,199,77,3,10983,94,342,19,145,365,37,24,2648,1242,412,153,49,15,0,935,590,465,105,2646,710,5033,4,36,15,312,73,0,403,748,628,73,23,67,556,54,0,11,0,9772,2244,526,0,489,37505,5479,473,577,0,2537,2,12315,0,1251,77,82068,93223,0
WordPress,2.3.3,1344,5456,0,9840,0,0,0,779,0,8,0,0,15,0,0,0,105,23,2,2,4284,50,137,9,92,137,1,0,606,365,213,63,24,8,0,409,157,201,54,1150,101,1651,0,10,1,150,44,0,141,238,424,1,3,9,93,7,0,0,0,2524,834,192,2,199,14695,1945,4,323,0,647,38,5566,0,330,0,30786,38969,0
WordPress,2.5.1,1823,7968,0,12594,0,4,0,913,0,21,0,2,35,0,0,0,118,147,15,7,5573,54,172,9,87,238,27,20,931,463,259,101,53,18,0,615,215,286,47,1476,198,2334,0,17,5,196,44,0,236,330,449,7,3,14,147,13,0,0,0,4060,1120,403,8,228,18951,2876,136,357,0,930,7,6369,0,491,0,39712,50050,0
WordPress,2.8,3168,14433,0,18814,12,8,0,1201,0,25,0,2,92,0,0,0,317,148,54,5,7752,89,307,16,149,334,33,20,1645,846,375,138,51,20,0,745,445,449,91,2001,473,3449,2,34,16,318,70,0,360,646,541,24,20,38,408,20,0,3,0,7380,1639,504,8,344,27282,4747,395,433,0,1977,6,9716,0,864,0,63380,74914,0
WordPress,3.1.4,4448,17235,0,22418,12,8,1,1382,1,26,0,2,123,0,0,0,332,199,105,3,10411,96,335,20,143,360,38,24,2551,1160,418,163,46,17,0,926,563,463,107,2544,695,4804,4,36,15,317,68,0,421,714,619,67,23,61,548,51,0,4,0,9502,2174,527,0,486,35101,5257,455,558,0,2516,2,12128,0,1212,0,78094,91204,0
WordPress,1.5.2,339,2701,0,5363,0,0,0,382,0,2,0,0,22,0,0,0,45,6,1,1,2431,15,88,8,57,104,0,0,320,155,119,31,26,24,0,268,25,156,22,684,12,826,0,6,0,73,30,0,93,82,83,1,3,6,6,0,0,0,0,1129,357,80,3,187,7651,774,4,223,0,340,13,2726,0,141,0,17712,20646,0
WordPress,3.3.1,4713,17346,15,22972,12,7,1,1419,1,27,0,2,127,0,0,0,306,199,77,3,10983,94,342,19,145,360,37,24,2644,1241,411,153,49,15,0,934,591,461,105,2643,708,5031,4,36,15,312,71,0,401,748,628,73,23,67,556,54,0,11,0,9764,2242,528,0,488,37471,5479,473,576,0,2537,2,12315,0,1251,77,82019,93148,0
WordPress,2.3.2,1344,5454,0,9834,0,0,0,779,0,8,0,0,15,0,0,0,105,25,2,2,4283,50,137,9,92,137,1,0,609,365,213,63,24,8,0,409,157,201,54,1149,101,1651,0,10,1,150,44,0,141,236,424,1,3,9,93,7,0,0,0,2524,834,192,2,199,14690,1945,4,323,0,647,38,5567,0,327,0,30774,38958,0
WordPress,2.7,2455,10242,0,15417,0,4,0,1031,0,21,0,2,43,0,0,0,176,108,13,9,6755,73,276,12,126,279,27,20,1318,645,319,124,51,18,0,711,251,404,69,1791,298,3033,0,29,15,266,66,0,275,482,512,9,4,13,319,21,0,2,0,4860,1430,430,8,296,23635,3415,169,399,0,1404,7,7543,0,687,0,48943,61796,0
WordPress,3.1.3,4443,17218,0,22388,12,8,1,1381,1,26,0,2,123,0,0,0,332,199,105,3,10407,96,335,20,143,360,38,24,2547,1160,418,163,46,17,0,927,560,463,107,2546,693,4793,4,36,15,317,68,0,421,714,618,67,23,61,548,51,0,4,0,9502,2170,527,0,486,35069,5256,455,558,0,2513,2,12119,0,1211,0,78015,91114,0
