ID,Product,Path,Line,Derivable Names,Assigns Through,Made Global,Uses literal pattern,Uses foreach,Uses switch,Uses conditional,Derivable with annotations,Notes
125,Smarty,libs/plugins/function.html_select_date.php,126,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
126,Smarty,libs/plugins/function.html_select_date.php,158,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
127,Smarty,libs/plugins/function.html_select_date.php,166,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
128,Smarty,libs/plugins/function.html_select_date.php,186,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
129,Smarty,libs/plugins/function.html_select_date.php,195,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
130,Smarty,libs/plugins/function.html_select_date.php,218,Y,N,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
131,Smarty,libs/plugins/function.html_select_date.php,220,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
132,Smarty,libs/plugins/function.html_select_date.php,222,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
133,Smarty,libs/plugins/function.html_select_date.php,224,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
134,Smarty,libs/plugins/function.html_select_date.php,226,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
135,Smarty,libs/plugins/function.html_select_date.php,226,Y,N,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
136,Smarty,libs/plugins/function.html_select_time.php,120,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
137,Smarty,libs/plugins/function.html_select_time.php,128,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
138,Smarty,libs/plugins/function.html_select_time.php,138,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
139,Smarty,libs/plugins/function.html_select_time.php,156,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
140,Smarty,libs/plugins/function.html_select_time.php,169,Y,Y,N,,X,,,,Var-var name is derivable by literals and symbolic evaluation.
141,Smarty,libs/plugins/function.html_select_time.php,355,Y,N,N,,X,,,,Var-var name is from an array of literals included in the foreach.
142,Smarty,libs/plugins/function.html_select_time.php,359,Y,N,N,,X,,,,Var-var name is from an array of literals included in the foreach.
143,Smarty,libs/plugins/function.html_table.php,73,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
144,Smarty,libs/plugins/function.html_table.php,91,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
145,Smarty,libs/plugins/function.html_table.php,100,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
146,Smarty,libs/plugins/function.html_table.php,106,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
147,Smarty,libs/plugins/function.mailto.php,85,Y,Y,N,,,X,,,Var-var name given in case labels immediately before this.
148,Smarty,libs/sysplugins/smarty_internal_data.php,314,N,N,N,,,,,,"Names comes from outside. However, used in something like a no-op."
149,Smarty,libs/sysplugins/smarty_internal_data.php,338,N,N,N,,,,,,"Names comes from outside. However, used in something like a no-op."
150,SquirrelMail,src/compose.php,137,Y,Y,N,,X,,,,"Names from an array, used in a foreach."
151,SquirrelMail,src/compose.php,315,Y,Y,N,,X,,,,"Names from an array, used in a foreach."
152,SquirrelMail,src/compose.php,316,Y,N,N,,X,,,,"Names from an array, used in a foreach."
153,SquirrelMail,plugins/info/options.php,51,Y,Y,N,X,,,,,Names are literals with a number in [0..9] appended.
154,SquirrelMail,plugins/info/options.php,53,Y,Y,N,X,,,,,Names are literals with a number in [0..9] appended.
155,SquirrelMail,plugins/translate/options.php,76,N,N,Y,,,,,,Names comes in as a parameter.
156,SquirrelMail,plugins/translate/options.php,79,N,N,N,,,,,,Names comes in as a parameter.
157,SquirrelMail,plugins/info/options.php,107,Y,N,N,X,,,,,Values based on contents of an array given above in the code.
158,SquirrelMail,plugins/info/options.php,142,Y,N,N,,X,,,X,"Derivable, but could be hard because of changes to the array in the code (could require a more sophisticated dataflow analysis, annotations could help)."
159,SquirrelMail,plugins/info/options.php,161,Y,N,N,,X,,,X,"Derivable, but could be hard because of changes to the array in the code (could require a more sophisticated dataflow analysis, annotations could help)."
160,SquirrelMail,plugins/info/options.php,162,Y,N,N,,X,,,X,"Derivable, but could be hard because of changes to the array in the code (could require a more sophisticated dataflow analysis, annotations could help)."
161,SquirrelMail,src/options_highlight.php,340,Y,Y,N,X,,,,,Names are literals with a number in [0..13] appended.
162,SquirrelMail,functions/strings.php,661,N,N,Y,,,,,,Value comes in as elements of an array passed as a parameter. Marked obsolete.
